Ente;FORZA ITALIA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;IO CAMBIO - MAIE;ITALIA DEI VALORI;L'ALTRA EUROPA CON TSIPRAS;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;NUOVO CENTRO DESTRA - UDC;PARTITO DEMOCRATICO;SCELTA EUROPEA;VERDI EUROPEI-GREEN ITALIA
ARMUNGIA;14;5;0;2;6;1;29;4;81;0;1
ASSEMINI;1193;301;4;26;333;103;3730;162;2795;80;47
BALLAO;44;18;0;2;4;5;73;12;95;0;1
BARRALI;64;5;0;0;4;1;117;26;87;0;0
BURCEI;124;55;1;1;6;5;173;15;129;6;1
CAGLIARI;9484;2384;33;204;3674;732;15099;1907;22904;619;366
CAPOTERRA;1217;249;8;23;310;98;2838;102;2427;52;24
CASTIADAS;114;20;1;2;14;3;140;4;108;1;3
DECIMOMANNU;380;63;5;14;72;20;957;51;950;19;18
DECIMOPUTZU;246;58;1;4;30;23;509;28;354;4;2
DOLIANOVA;405;68;4;6;122;46;1216;99;972;12;15
DOMUS DE MARIA;80;2;1;1;12;5;232;48;155;7;1
DONORI;91;18;1;4;37;7;256;20;265;0;3
ELMAS;390;145;2;5;230;46;1203;57;1287;21;16
ESCALAPLANO;120;23;0;6;7;5;231;13;254;1;2
ESCOLCA;41;10;0;1;34;1;36;14;49;1;5
ESTERZILI;25;26;0;0;11;2;21;4;63;1;0
GERGEI;94;20;0;0;18;6;83;3;171;0;1
GESICO;36;6;0;0;1;4;56;6;119;3;1
GONI;17;1;0;0;0;2;69;3;17;0;0
GUAMAGGIORE;58;9;0;0;5;1;57;84;81;3;0
GUASILA;260;94;4;16;25;17;384;84;601;8;10
ISILI;93;95;2;2;37;4;147;16;459;11;2
MANDAS;126;12;0;3;14;3;179;80;282;0;2
MARACALAGONIS;576;77;5;5;82;24;984;131;492;15;16
MONASTIR;232;32;3;6;33;15;644;11;432;11;4
MONSERRATO;1132;254;12;24;391;97;2530;141;2577;72;28
MURAVERA;282;59;3;7;50;30;589;76;602;17;12
NURAGUS;42;5;0;1;9;1;53;4;187;3;3
NURALLAO;104;24;0;1;13;4;104;9;192;6;0
NURAMINIS;97;45;0;2;31;13;261;17;346;5;1
NURRI;80;10;0;4;10;6;128;14;216;3;1
ORROLI;112;20;0;10;15;3;184;10;235;1;3
ORTACESUS;57;34;0;1;8;6;71;8;90;2;1
PIMENTEL;85;15;0;1;8;5;122;5;98;2;0
PULA;996;216;15;30;104;79;1508;72;1069;29;18
QUARTU SANT'ELENA;4318;836;12;69;1142;308;8100;614;7491;214;133
QUARTUCCIU;663;211;3;8;523;53;1675;69;1169;55;23
SADALI;26;19;0;3;8;2;74;9;186;1;1
SAMATZAI;54;30;1;5;14;8;141;5;351;3;0
SAN BASILIO;63;11;2;4;39;7;77;28;89;3;0
SAN NICOLO' GERREI;56;7;1;3;5;4;35;8;87;7;2
SAN SPERATE;300;69;6;10;108;16;1098;44;945;24;22
SAN VITO;228;28;5;8;41;17;384;45;407;10;2
SANT'ANDREA FRIUS;58;20;0;0;16;8;148;40;201;5;5
SARROCH;269;34;3;12;36;11;698;13;601;5;3
SELARGIUS;1779;376;5;29;519;109;3767;228;3774;94;48
SELEGAS;35;25;1;1;4;7;182;12;117;0;2
SENORBI';210;36;1;6;24;18;601;57;486;3;5
SERDIANA;125;26;2;1;26;15;282;19;252;3;6
SERRI;28;20;0;0;3;2;45;9;26;2;0
SESTU;946;193;2;25;278;74;3127;107;1838;40;27
SETTIMO SAN PIETRO;256;64;1;1;92;24;896;39;919;9;14
SEULO;53;23;0;2;10;4;84;12;83;3;0
SILIQUA;160;30;1;3;53;19;401;27;468;5;2
SILIUS;31;9;0;0;3;3;89;25;104;9;1
SINNAI;862;131;7;18;329;92;2187;109;1736;26;69
SIURGUS DONIGALA;82;5;2;3;5;3;128;40;196;3;0
SOLEMINIS;81;8;1;1;29;10;252;19;203;15;10
SUELLI;79;9;0;0;6;5;125;8;114;3;1
TEULADA;222;28;0;7;29;10;368;38;470;3;5
USSANA;217;32;1;4;38;13;421;43;548;11;3
UTA;314;63;3;9;60;54;885;37;537;17;13
VALLERMOSA;100;18;0;2;22;11;198;15;260;4;0
VILLA SAN PIETRO;90;19;1;2;11;23;253;5;233;2;2
VILLANOVA TULO;37;4;0;2;12;1;61;11;94;1;2
VILLAPUTZU;311;43;3;8;67;21;452;29;612;31;9
VILLASALTO;177;8;0;3;7;6;64;8;134;1;0
VILLASIMIUS;559;116;7;13;53;54;619;28;684;19;25
VILLASOR;287;84;1;6;58;23;884;39;799;75;3
VILLASPECIOSA;97;33;2;3;24;7;319;37;233;1;12
