Ente;FORZA ITALIA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;IO CAMBIO - MAIE;ITALIA DEI VALORI;L'ALTRA EUROPA CON TSIPRAS;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;NUOVO CENTRO DESTRA - UDC;PARTITO DEMOCRATICO;SCELTA EUROPEA;VERDI EUROPEI-GREEN ITALIA
BUGGERRU;82;5;2;6;23;0;67;37;147;6;2
CALASETTA;416;69;3;8;51;49;609;65;376;15;8
CARBONIA;887;186;6;19;548;106;3369;222;3811;40;21
CARLOFORTE;254;41;2;6;98;27;482;43;712;8;4
DOMUSNOVAS;339;71;1;13;36;24;744;39;746;16;2
FLUMINIMAGGIORE;112;18;0;24;34;6;237;21;448;10;2
GIBA;122;19;0;4;12;6;171;58;173;2;0
GONNESA;196;15;2;3;65;19;541;61;850;4;5
IGLESIAS;1061;209;8;32;429;98;2704;665;2794;119;24
MASAINAS;70;3;1;5;2;5;94;7;138;0;2
MUSEI;66;14;0;1;36;4;200;40;126;5;1
NARCAO;101;16;2;1;34;14;386;12;292;3;1
NUXIS;61;7;0;2;13;4;99;3;121;1;0
PERDAXIUS;45;4;1;4;21;3;153;30;108;4;0
PISCINAS;40;4;1;1;7;4;44;6;63;0;0
PORTOSCUSO;187;53;0;4;41;30;630;29;649;9;6
SAN GIOVANNI SUERGIU;202;41;2;7;63;25;542;34;629;31;2
SANT'ANNA ARRESI;180;15;2;2;26;10;213;15;237;5;1
SANT'ANTIOCO;723;106;4;3;147;71;961;55;1253;15;9
SANTADI;133;27;0;7;24;20;266;17;276;1;2
TRATALIAS;27;4;1;0;3;6;101;12;91;1;0
VILLAMASSARGIA;103;47;0;0;27;10;263;49;459;7;6
VILLAPERUCCIO;53;62;0;2;5;3;89;4;81;4;2
