Ente;FORZA ITALIA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;IO CAMBIO - MAIE;ITALIA DEI VALORI;L'ALTRA EUROPA CON TSIPRAS;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;NUOVO CENTRO DESTRA - UDC;PARTITO DEMOCRATICO;SCELTA EUROPEA;VERDI EUROPEI-GREEN ITALIA
ARBUS;357;129;4;12;111;13;432;18;921;9;13
BARUMINI;70;11;0;3;9;4;82;4;183;3;0
COLLINAS;29;6;0;0;9;2;58;1;142;1;0
FURTEI;101;43;0;4;10;14;153;45;238;2;1
GENURI;10;5;0;1;1;1;20;5;53;1;1
GESTURI;165;18;0;1;16;1;101;11;113;2;0
GONNOSFANADIGA;491;45;2;10;61;25;657;50;683;8;9
GUSPINI;460;106;6;24;430;52;1197;46;2221;16;11
LAS PLASSAS;11;2;0;0;8;2;26;3;43;0;1
LUNAMATRONA;129;25;0;0;16;5;127;12;282;5;0
PABILLONIS;127;25;0;5;25;4;267;8;314;1;0
PAULI ARBAREI;41;9;0;1;4;0;69;1;77;0;1
SAMASSI;277;50;1;5;58;26;600;25;750;3;10
SAN GAVINO MONREALE;783;175;17;87;282;75;1497;102;1843;21;30
SANLURI;328;77;2;26;68;33;1027;29;1661;3;7
SARDARA;168;51;1;25;50;11;352;19;558;6;0
SEGARIU;52;17;0;5;8;1;137;4;188;3;4
SERRAMANNA;377;60;3;15;93;31;1012;28;1326;10;7
SERRENTI;273;80;7;17;97;25;919;35;1065;13;11
SETZU;4;4;0;1;0;0;14;2;21;0;0
SIDDI;31;8;0;2;9;0;64;1;124;3;0
TUILI;35;14;0;3;11;1;55;8;167;4;0
TURRI;14;1;0;0;5;0;24;7;95;1;0
USSARAMANNA;42;9;2;3;5;5;54;12;110;1;0
VILLACIDRO;812;98;3;23;181;45;1627;53;2004;16;10
VILLAMAR;206;34;4;3;24;6;189;22;314;5;4
VILLANOVAFORRU;39;4;0;1;12;4;37;2;122;2;2
VILLANOVAFRANCA;85;16;3;3;31;4;56;9;188;3;4
