Ente;FORZA ITALIA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;IO CAMBIO - MAIE;ITALIA DEI VALORI;L'ALTRA EUROPA CON TSIPRAS;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;NUOVO CENTRO DESTRA - UDC;PARTITO DEMOCRATICO;SCELTA EUROPEA;VERDI EUROPEI-GREEN ITALIA
ARITZO;95;53;0;0;14;1;86;11;192;6;1
ATZARA;17;6;2;1;66;6;112;12;204;10;1
AUSTIS;11;14;0;0;7;1;51;2;104;17;0
BELVI';62;88;0;0;6;0;59;10;59;2;0
BIRORI;24;6;0;0;3;1;37;4;79;4;0
BITTI;70;24;1;5;19;4;148;112;322;3;2
BOLOTANA;75;8;0;4;32;4;234;12;411;5;3
BORORE;63;28;1;4;21;8;142;21;289;8;1
BORTIGALI;37;16;2;2;15;8;90;20;183;4;0
DESULO;109;91;0;2;17;5;207;14;200;58;0
DORGALI;269;76;4;15;65;26;1079;107;1268;8;6
DUALCHI;21;4;0;0;0;3;14;1;110;42;1
FONNI;139;18;0;3;23;5;238;29;401;6;2
GADONI;34;13;2;1;1;0;70;5;84;0;0
GALTELLI';82;9;2;1;8;9;89;31;212;7;1
GAVOI;78;21;1;2;145;3;237;35;413;3;0
IRGOLI;56;11;0;7;11;6;155;19;187;2;0
LEI;16;4;0;0;2;3;30;5;83;0;1
LOCULI;12;1;3;0;3;1;11;5;36;1;0
LODE';59;8;0;1;8;2;80;60;207;3;1
LODINE;1;0;1;1;5;0;61;0;67;3;1
LULA;17;3;1;1;8;3;71;145;149;3;1
MACOMER;552;113;3;22;138;57;1063;62;1456;11;8
MAMOIADA;78;6;1;3;29;5;154;34;427;66;3
MEANA SARDO;78;20;2;3;43;29;106;66;439;1;0
NORAGUGUME;3;2;0;1;1;0;8;3;59;9;0
NUORO;1259;237;7;47;725;109;3410;438;5228;266;55
OLIENA;196;76;1;12;95;32;636;68;776;44;4
OLLOLAI;37;5;1;4;15;3;119;9;140;4;2
OLZAI;34;29;1;0;2;1;71;6;161;0;0
ONANI';11;2;0;6;3;1;33;27;112;2;1
ONIFAI;17;4;0;0;3;0;23;11;45;2;0
ONIFERI;23;4;1;2;5;1;76;4;95;2;1
ORANI;39;8;0;8;74;2;194;18;543;18;2
ORGOSOLO;68;28;1;32;63;8;344;32;504;12;6
OROSEI;271;51;1;5;44;17;536;31;523;11;6
OROTELLI;40;5;0;1;14;1;77;7;305;5;0
ORTUERI;52;7;0;1;17;5;87;17;170;7;1
ORUNE;95;4;0;2;21;4;30;9;211;3;1
OSIDDA;4;3;0;0;0;0;8;1;26;0;0
OTTANA;41;11;0;0;11;8;102;7;172;3;0
OVODDA;67;2;1;4;22;2;143;7;144;11;1
POSADA;120;23;2;3;24;14;220;15;344;0;1
SARULE;47;4;1;4;4;4;101;15;263;12;0
SILANUS;56;9;0;10;16;5;157;14;324;2;2
SINDIA;80;18;0;3;13;1;63;19;200;4;0
SINISCOLA;411;83;3;15;50;44;808;97;1116;18;7
SORGONO;43;8;0;1;24;4;198;11;198;6;1
TETI;34;12;0;0;13;4;28;3;139;0;0
TIANA;7;10;1;0;1;0;39;5;104;22;0
TONARA;81;27;0;0;54;6;153;23;395;10;1
TORPE';105;18;0;1;12;8;125;7;276;1;2
