Ente;FORZA ITALIA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;IO CAMBIO - MAIE;ITALIA DEI VALORI;L'ALTRA EUROPA CON TSIPRAS;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;NUOVO CENTRO DESTRA - UDC;PARTITO DEMOCRATICO;SCELTA EUROPEA;VERDI EUROPEI-GREEN ITALIA
ARZANA;286;20;1;1;12;6;121;23;246;15;3
BARI SARDO;195;22;0;6;26;21;357;53;392;107;5
BAUNEI;92;21;1;5;40;16;270;41;275;56;1
CARDEDU;66;7;2;2;20;15;184;15;238;4;2
ELINI;28;5;0;3;0;0;29;4;64;6;0
GAIRO;77;8;0;1;3;5;79;19;194;5;1
GIRASOLE;44;8;0;1;7;12;135;16;113;11;1
ILBONO;112;9;0;5;18;7;183;11;210;28;1
JERZU;102;21;5;4;38;8;205;52;469;9;1
LANUSEI;163;60;1;5;121;17;552;65;871;11;2
LOCERI;97;5;0;0;10;4;98;3;159;6;0
LOTZORAI;113;10;0;6;24;0;239;11;267;13;4
OSINI;37;12;0;2;2;2;54;8;96;5;0
PERDASDEFOGU;78;105;0;2;20;6;230;11;291;1;2
SEUI;71;17;0;9;39;7;94;7;143;7;0
TALANA;110;8;0;0;4;3;45;7;61;11;0
TERTENIA;314;42;6;8;28;11;342;18;399;4;2
TORTOLI';1175;241;21;39;223;137;2051;165;1842;136;29
TRIEI;53;10;0;2;5;4;80;8;126;7;1
ULASSAI;27;9;1;4;36;2;89;12;312;5;2
URZULEI;39;7;0;0;13;3;113;9;108;11;2
USSASSAI;12;3;0;2;6;0;29;33;107;1;0
VILLAGRANDE STRISAILI;229;19;1;10;41;12;401;71;760;17;3
