Ente;FORZA ITALIA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;IO CAMBIO - MAIE;ITALIA DEI VALORI;L'ALTRA EUROPA CON TSIPRAS;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;NUOVO CENTRO DESTRA - UDC;PARTITO DEMOCRATICO;SCELTA EUROPEA;VERDI EUROPEI-GREEN ITALIA
AGGIUS;66;21;0;3;17;22;103;10;274;1;3
AGLIENTU;65;8;1;4;5;6;45;3;148;1;0
ALA' DEI SARDI;63;8;1;5;21;6;21;14;111;1;0
ARZACHENA;927;134;6;88;52;71;871;59;1067;15;15
BADESI;88;20;0;82;8;28;89;9;196;0;3
BERCHIDDA;110;29;2;18;19;8;158;13;425;0;3
BORTIGIADAS;32;3;0;7;11;2;25;7;168;0;0
BUDDUSO';149;10;2;23;3;2;100;25;310;6;1
BUDONI;244;50;0;19;20;21;313;33;418;9;7
CALANGIANUS;316;34;0;27;41;24;325;53;555;5;7
GOLFO ARANCI;439;41;1;37;17;70;401;24;294;9;3
LA MADDALENA;591;119;5;227;181;94;930;52;1331;11;4
LOIRI PORTO SAN PAOLO;194;36;0;31;21;15;299;19;482;5;4
LUOGOSANTO;88;22;0;24;4;4;128;9;219;1;0
LURAS;175;18;0;18;9;20;114;13;233;4;1
MONTI;139;33;2;60;6;6;137;22;246;7;1
OLBIA;2906;389;8;1711;363;231;4702;199;4513;49;40
OSCHIRI;136;23;2;14;45;12;274;15;601;4;3
PADRU;73;11;1;33;7;8;119;36;223;2;0
PALAU;269;68;2;14;37;30;330;24;437;3;9
SAN TEODORO;279;67;0;10;58;25;332;14;475;12;5
SANT'ANTONIO DI GALLURA;157;11;0;31;3;2;49;12;150;1;0
SANTA TERESA GALLURA;399;55;1;27;48;26;356;15;592;3;6
TELTI;140;42;0;33;17;12;200;12;252;3;1
TEMPIO PAUSANIA;804;82;1;106;102;75;1006;86;1695;16;19
TRINITA' D'AGULTU E VIGNOLA;96;29;0;17;10;218;210;10;217;1;5
