Ente;FORZA ITALIA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;IO CAMBIO - MAIE;ITALIA DEI VALORI;L'ALTRA EUROPA CON TSIPRAS;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;NUOVO CENTRO DESTRA - UDC;PARTITO DEMOCRATICO;SCELTA EUROPEA;VERDI EUROPEI-GREEN ITALIA
ABBASANTA;211;38;0;5;33;13;230;31;345;10;2
AIDOMAGGIORE;7;1;0;1;5;0;27;1;83;0;0
ALBAGIARA;12;1;0;1;12;0;8;1;56;1;1
ALES;47;5;1;5;39;8;131;8;226;4;2
ALLAI;26;0;0;0;2;1;37;2;55;0;0
ARBOREA;281;57;2;7;38;13;475;28;347;1;9
ARDAULI;29;3;0;0;16;1;55;15;174;8;0
ASSOLO;21;2;0;0;2;0;32;11;58;1;0
ASUNI;18;1;0;0;1;1;20;1;31;0;0
BARADILI;1;2;1;0;1;0;11;2;13;0;0
BARATILI SAN PIETRO;72;7;1;3;9;10;146;4;135;2;4
BARESSA;32;6;0;4;3;1;38;7;93;1;1
BAULADU;44;4;2;2;15;3;61;0;92;0;3
BIDONI';3;1;0;0;1;0;10;1;26;0;0
BONARCADO;70;20;0;1;14;5;130;9;148;4;0
BORONEDDU;7;0;0;0;2;0;8;1;22;0;0
BOSA;1039;211;18;43;127;81;1008;197;1533;29;29
BUSACHI;32;2;0;2;12;5;39;8;144;0;1
CABRAS;632;74;1;7;85;25;815;42;600;5;8
CUGLIERI;136;32;1;6;21;6;228;26;368;3;3
CURCURIS;9;0;0;18;2;0;19;1;56;1;0
FLUSSIO;18;2;0;0;0;0;23;14;58;0;0
FORDONGIANUS;35;4;0;0;3;3;61;4;121;2;0
GENONI;95;61;2;5;2;6;57;14;150;1;3
GHILARZA;208;61;3;15;45;26;470;43;526;11;8
GONNOSCODINA;27;1;0;3;7;1;29;1;64;3;0
GONNOSNO';22;5;0;4;5;0;51;3;103;1;0
GONNOSTRAMATZA;26;6;3;2;6;0;78;1;130;31;2
LACONI;61;16;1;3;44;4;147;21;350;10;4
MAGOMADAS;30;17;0;0;9;2;49;9;60;0;1
MARRUBIU;357;34;3;7;60;16;475;16;496;6;3
MASULLAS;43;7;2;1;4;0;75;11;119;2;0
MILIS;122;10;1;1;10;10;79;16;190;0;5
MODOLO;3;4;0;2;2;0;4;3;19;0;0
MOGORELLA;18;8;0;0;1;0;18;7;46;1;0
MOGORO;100;27;1;4;37;12;450;17;587;4;5
MONTRESTA;49;3;0;4;0;1;24;7;83;1;0
MORGONGIORI;33;2;0;1;15;3;56;9;63;34;0
NARBOLIA;68;5;1;0;22;2;125;13;225;3;4
NEONELI;34;2;0;2;7;0;21;7;94;12;1
NORBELLO;46;9;0;3;26;4;143;9;108;1;0
NUGHEDU SANTA VITTORIA;32;2;0;1;2;5;23;2;84;0;0
NURACHI;97;13;0;2;17;8;154;5;158;8;3
NURECI;13;2;0;0;1;0;46;3;35;0;0
OLLASTRA;53;15;1;1;3;7;61;14;124;3;0
ORISTANO;1813;335;4;59;525;168;3162;310;3948;61;39
PALMAS ARBOREA;49;9;0;2;14;4;114;15;123;0;1
PAU;15;2;0;0;4;1;21;4;22;0;0
