Ente;FORZA ITALIA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;IO CAMBIO - MAIE;ITALIA DEI VALORI;L'ALTRA EUROPA CON TSIPRAS;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;NUOVO CENTRO DESTRA - UDC;PARTITO DEMOCRATICO;SCELTA EUROPEA;VERDI EUROPEI-GREEN ITALIA
ALGHERO;4610;1228;40;291;834;391;6666;795;7859;144;98
ANELA;47;14;0;4;10;1;39;6;123;0;0
ARDARA;41;7;0;1;0;2;45;16;65;0;0
BANARI;4;5;0;0;6;2;40;7;121;0;0
BENETUTTI;69;41;0;18;12;2;79;23;229;3;0
BESSUDE;8;2;0;1;5;0;41;2;67;0;0
BONNANARO;39;14;0;3;7;4;50;4;158;1;0
BONO;127;27;3;10;39;9;170;171;434;7;2
BONORVA;172;21;1;9;27;7;244;40;477;4;1
BORUTTA;9;5;0;0;4;2;16;1;51;0;1
BOTTIDDA;21;3;1;12;68;0;56;4;75;1;0
BULTEI;19;10;1;5;11;0;25;8;210;0;1
BULZI;35;9;1;2;4;8;54;4;68;0;0
BURGOS;36;6;0;2;12;0;112;18;101;3;0
CARGEGHE;33;9;2;0;16;11;38;8;71;1;2
CASTELSARDO;771;156;9;26;49;72;1026;49;906;16;17
CHEREMULE;14;4;0;0;3;1;29;4;56;0;1
CHIARAMONTI;47;13;1;3;17;5;91;7;184;1;0
CODRONGIANOS;67;12;2;0;11;4;141;24;180;3;0
COSSOINE;18;5;0;0;11;1;40;4;155;2;0
ERULA;23;0;1;4;5;2;46;1;91;2;1
ESPORLATU;15;8;0;0;11;0;22;16;55;2;0
FLORINAS;73;4;0;4;19;5;147;10;317;3;2
GIAVE;26;7;0;1;1;7;30;9;62;0;0
ILLORAI;40;11;1;3;14;4;43;15;205;10;0
ITTIREDDU;31;6;0;0;4;1;33;4;89;2;0
ITTIRI;240;76;2;14;85;15;980;29;1505;73;3
LAERRU;36;3;1;4;7;28;77;3;107;0;0
MARA;22;7;0;0;6;4;34;4;89;0;0
MARTIS;13;2;0;2;5;2;28;3;72;0;1
MONTELEONE ROCCA DORIA;2;0;0;4;0;0;5;0;13;0;0
MORES;91;12;0;18;13;8;166;18;142;0;2
MUROS;26;14;0;1;8;3;93;1;143;3;0
NUGHEDU SAN NICOLO';44;9;0;5;5;1;35;2;108;1;0
NULE;37;6;0;85;12;2;52;10;140;3;0
NULVI;65;12;0;5;29;6;140;10;402;1;2
OLMEDO;164;68;0;9;32;11;425;22;394;1;3
OSILO;103;147;3;8;29;8;242;29;544;6;3
OSSI;194;32;3;15;74;21;621;40;885;6;4
OZIERI;479;113;2;73;149;33;760;70;1370;14;5
PADRIA;15;2;0;3;6;0;55;7;96;1;0
PATTADA;99;30;0;14;14;3;150;37;460;3;3
PERFUGAS;92;16;1;4;13;18;178;20;330;0;1
PLOAGHE;146;25;0;7;48;10;388;66;661;7;9
PORTO TORRES;963;202;7;46;218;149;2551;75;2733;36;19
POZZOMAGGIORE;95;8;1;3;24;11;145;30;406;2;1
PUTIFIGARI;57;14;1;31;5;4;56;5;123;2;2
ROMANA;18;4;0;4;1;0;26;5;94;0;0
SANTA MARIA COGHINAS;59;18;0;27;8;28;81;5;116;7;0
SASSARI;10026;2560;99;1355;2286;817;17947;1014;28209;339;327
SEDINI;47;9;2;10;6;7;52;7;208;0;2
SEMESTENE;5;0;0;1;0;0;10;0;21;0;0
SENNORI;374;72;4;46;38;17;779;33;721;95;5
SILIGO;22;6;0;1;3;2;44;1;162;0;1
SORSO;2250;313;17;89;124;112;2191;98;2101;69;37
STINTINO;98;31;1;9;19;8;161;16;175;0;2
TERGU;38;2;1;1;1;3;40;5;104;0;0
THIESI;86;21;0;6;47;11;193;19;414;6;4
TISSI;87;19;0;3;54;8;294;6;338;4;0
TORRALBA;53;11;0;0;8;5;65;4;136;0;3
TULA;76;12;0;3;29;4;149;10;250;0;5
URI;102;37;1;7;19;12;333;7;430;2;0
USINI;188;41;0;5;25;16;481;12;459;6;5
VALLEDORIA;263;49;1;16;34;35;293;13;488;3;0
VIDDALBA;62;16;1;4;10;27;132;9;227;3;0
VILLANOVA MONTELEONE;77;25;3;288;8;5;110;17;227;1;1
