Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ARMUNGIA ;464;146;1;3
ASSEMINI ;22137;8993;50;219
BALLAO ;763;263;1;9
BARRALI ;936;314;3;10
BURCEI ;2320;548;18;32
CAGLIARI ;131559;58547;221;1141
CAPOTERRA ;18770;7486;32;138
CASTIADAS ;1313;426;5;16
DECIMOMANNU ;6686;2638;19;89
DECIMOPUTZU ;3658;1298;12;39
DOLIANOVA ;8253;3056;15;91
DOMUS DE MARIA ;1522;570;7;26
DONORI ;1815;737;10;35
ELMAS ;7648;3482;15;80
ESCALAPLANO ;1962;687;2;25
ESCOLCA ;549;200;3;8
ESTERZILI ;619;153;0;0
GERGEI ;1063;407;3;11
GESICO ;734;241;2;9
GONI ;427;112;0;3
GUAMAGGIORE ;859;326;7;28
GUASILA ;2322;1751;162;248
ISILI ;2413;903;11;35
MANDAS ;1939;758;14;57
MARACALAGONIS ;6473;2493;14;86
MONASTIR ;3945;1474;11;51
MONSERRATO ;17448;7466;49;208
MURAVERA ;4415;1771;6;44
NURAGUS ;824;319;1;11
NURALLAO ;1150;470;3;13
NURAMINIS ;2312;854;7;36
NURRI ;1845;491;0;19
ORROLI ;2030;622;6;29
ORTACESUS ;788;291;2;13
PIMENTEL ;994;355;6;14
PULA ;6219;4581;213;445
QUARTUCCIU ;10825;4559;20;107
QUARTU SANT'ELENA ;59556;23791;112;554
SADALI ;810;339;0;10
SAMATZAI ;1450;635;8;23
SAN BASILIO ;1097;342;6;19
SAN NICOLO' GERREI ;733;223;4;8
SAN SPERATE ;6878;2753;20;111
SANT'ANDREA FRIUS ;1503;522;4;21
SAN VITO ;3203;1227;9;52
SARROCH ;4617;1735;7;50
SELARGIUS ;24259;11000;64;272
SELEGAS ;1185;407;1;21
SENORBI' ;3984;1511;9;64
SERDIANA ;2195;787;7;30
SERRI ;582;143;2;8
SESTU ;16465;6837;50;180
SETTIMO SAN PIETRO ;5584;2398;17;83
SEULO ;780;285;2;11
SILIQUA ;3356;1207;7;38
SILIUS ;1055;283;3;9
SINNAI ;14196;5764;44;198
SIURGUS DONIGALA ;1714;484;6;17
SOLEMINIS ;1544;662;7;33
SUELLI ;1009;366;8;16
TEULADA ;3303;1241;16;61
USSANA ;3494;1391;18;60
UTA ;6778;2062;20;70
VALLERMOSA ;1708;650;6;20
VILLANOVA TULO ;982;279;0;54
VILLAPUTZU ;4180;1684;12;98
VILLASALTO ;1025;426;4;18
VILLA SAN PIETRO ;1728;660;8;19
VILLASIMIUS ;3035;2389;120;212
VILLASOR ;5938;2351;16;92
VILLASPECIOSA ;1999;793;3;25
