Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
BUGGERRU ;973;390;2;13
CALASETTA ;2536;1843;102;174
CARBONIA ;25599;9474;56;259
CARLOFORTE ;5592;1720;9;43
DOMUSNOVAS ;5459;2107;7;76
FLUMINIMAGGIORE ;2563;940;9;28
GIBA ;1830;585;6;18
GONNESA ;4336;1829;18;68
IGLESIAS ;23680;8395;42;252
MASAINAS ;1187;334;2;7
MUSEI ;1340;518;3;25
NARCAO ;2837;913;8;51
NUXIS ;1401;335;7;24
PERDAXIUS ;1297;396;1;23
PISCINAS ;728;176;1;6
PORTOSCUSO ;4534;1687;16;49
SAN GIOVANNI SUERGIU ;5235;1630;24;52
SANTADI ;3117;801;8;28
SANT'ANNA ARRESI ;2396;738;5;32
SANT'ANTIOCO ;10086;3474;26;127
TRATALIAS ;959;258;6;12
VILLAMASSARGIA ;3155;1028;8;57
VILLAPERUCCIO ;932;312;4;7
