Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ARBUS ;5681;2116;22;97
BARUMINI ;1119;379;4;10
COLLINAS ;781;256;3;8
FURTEI ;1434;639;6;28
GENURI ;314;99;1;1
GESTURI ;1137;440;3;12
GONNOSFANADIGA ;5800;2144;25;103
GUSPINI ;10442;4736;27;167
LAS PLASSAS ;218;97;1;1
LUNAMATRONA ;1531;635;8;34
PABILLONIS ;2399;802;5;26
PAULI ARBAREI ;555;209;3;6
SAMASSI ;4668;1875;12;70
SAN GAVINO MONREALE ;7646;5405;255;493
SANLURI ;7386;3352;20;91
SARDARA ;3568;1283;17;42
SEGARIU ;1070;430;3;11
SERRAMANNA ;7870;3073;23;111
SERRENTI ;4324;2793;127;251
SETZU ;129;50;2;4
SIDDI ;611;251;3;9
TUILI ;951;307;5;9
TURRI ;416;155;5;8
USSARAMANNA ;510;247;0;4
VILLACIDRO ;12032;5037;29;165
VILLAMAR ;2407;829;7;18
VILLANOVAFORRU ;578;235;2;10
VILLANOVAFRANCA ;1216;419;2;17
