Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ARITZO ;1176;469;4;10
ATZARA ;1063;461;6;24
AUSTIS ;731;211;2;4
BELVI' ;569;301;4;15
BIRORI ;494;165;0;7
BITTI ;2537;727;4;17
BOLOTANA ;2421;809;3;21
BORORE ;1887;602;3;16
BORTIGALI ;1250;386;5;9
DESULO ;2069;718;4;15
DORGALI ;7074;3005;17;82
DUALCHI ;588;206;5;10
FONNI ;3346;897;8;33
GADONI ;789;220;4;10
GALTELLI' ;2018;483;3;32
GAVOI ;2334;972;9;34
IRGOLI ;1937;470;3;16
LEI ;474;158;1;14
LOCULI ;418;75;0;2
LODE' ;1582;449;6;20
LODINE ;310;146;1;6
LULA ;1259;417;3;15
MACOMER ;8792;3601;21;116
MAMOIADA ;2101;824;4;18
MEANA SARDO ;1590;815;6;28
NORAGUGUME ;275;88;0;2
NUORO ;31103;12076;45;295
OLIENA ;6056;1997;14;57
OLLOLAI ;1172;354;5;15
OLZAI ;769;319;4;14
ONANI' ;334;213;10;15
ONIFAI ;652;110;2;5
ONIFERI ;763;223;1;9
ORANI ;2544;929;5;23
ORGOSOLO ;3526;1131;4;33
OROSEI ;5398;1572;19;76
OROTELLI ;1777;465;3;10
ORTUERI ;1065;385;6;21
ORUNE ;2084;390;1;10
OSIDDA ;196;43;0;1
OTTANA ;2006;370;1;15
OVODDA ;1345;424;4;20
POSADA ;2337;792;6;26
SARULE ;1437;476;9;21
SILANUS ;1909;618;4;23
SINDIA ;1655;410;3;9
SINISCOLA ;9294;2779;14;127
SORGONO ;1471;516;8;22
TETI ;608;236;2;3
TIANA ;452;201;4;12
TONARA ;1784;776;7;26
TORPE' ;2380;580;8;25
