Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ARZANA ;2076;765;13;31
BARI SARDO ;3349;1213;4;29
BAUNEI ;3180;846;8;28
CARDEDU ;1515;575;5;20
ELINI ;469;149;1;10
GAIRO ;1260;410;3;18
GIRASOLE ;999;364;8;16
ILBONO ;1804;635;7;51
JERZU ;2659;955;6;41
LANUSEI ;4865;1948;16;80
LOCERI ;1117;394;2;12
LOTZORAI ;1898;707;6;20
OSINI ;709;225;3;7
PERDASDEFOGU ;1750;793;10;47
SEUI ;1175;416;6;22
TALANA ;866;259;0;10
TERTENIA ;3228;1196;2;22
TORTOLI' ;9078;6635;272;576
TRIEI ;980;305;4;9
ULASSAI ;1384;517;4;18
URZULEI ;1114;316;2;11
USSASSAI ;520;196;1;3
VILLAGRANDE STRISAILI ;2818;1788;135;224
