Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
AGGIUS ;1360;541;6;21
AGLIENTU ;989;294;4;8
ALA' DEI SARDI ;1509;268;1;17
ARZACHENA ;10344;3408;22;103
BADESI ;1576;539;4;16
BERCHIDDA ;2445;847;12;62
BORTIGIADAS ;676;269;3;14
BUDDUSO' ;3089;654;7;23
BUDONI ;4127;1161;18;27
CALANGIANUS ;3567;1458;16;71
GOLFO ARANCI ;1972;1464;128;128
LA MADDALENA ;9705;3652;20;107
LOIRI PORTO SAN PAOLO ;2761;1135;4;29
LUOGOSANTO ;1526;520;4;21
LURAS ;2123;643;9;38
MONTI ;2055;697;7;38
OLBIA ;44293;15444;67;333
OSCHIRI ;3033;1159;13;30
PADRU ;1754;536;3;23
PALAU ;3294;1249;7;26
SAN TEODORO ;3828;1307;0;30
SANTA TERESA GALLURA ;4162;1569;9;41
SANT'ANTONIO DI GALLURA ;1236;444;5;28
TELTI ;1862;755;10;43
TEMPIO PAUSANIA ;11796;4149;33;157
TRINITA' D'AGULTU E VIGNOLA ;1885;835;9;22
