Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ABBASANTA ;2409;961;14;43
AIDOMAGGIORE ;417;134;1;9
ALBAGIARA ;257;95;1;2
ALES ;1286;501;7;25
ALLAI ;306;128;1;5
ARBOREA ;3415;1297;7;39
ARDAULI ;897;318;6;17
ASSOLO ;367;134;2;7
ASUNI ;318;74;0;1
BARADILI ;72;33;0;2
BARATILI SAN PIETRO ;1151;407;2;14
BARESSA ;623;192;0;6
BAULADU ;586;248;1;22
BIDONI' ;175;43;0;1
BONARCADO ;1437;429;3;28
BORONEDDU ;141;45;2;5
BOSA ;6838;4921;313;606
BUSACHI ;1222;262;2;17
CABRAS ;7956;2364;5;70
CUGLIERI ;2626;863;4;33
CURCURIS ;269;109;0;3
FLUSSIO ;425;117;0;2
FORDONGIANUS ;837;246;7;13
GENONI ;746;470;36;74
GHILARZA ;3825;1487;13;71
GONNOSCODINA ;447;143;3;7
GONNOSNO' ;706;201;2;7
GONNOSTRAMATZA ;815;296;1;11
LACONI ;1732;689;3;28
MAGOMADAS ;594;182;1;5
MARRUBIU ;4166;1525;11;52
MASULLAS ;945;280;3;16
MILIS ;1345;459;1;15
MODOLO ;171;38;0;1
MOGORELLA ;393;105;1;6
MOGORO ;3736;1289;11;45
MONTRESTA ;473;176;2;4
MORGONGIORI ;671;242;7;26
NARBOLIA ;1549;489;4;21
NEONELI ;595;186;1;6
NORBELLO ;1040;373;6;24
NUGHEDU SANTA VITTORIA ;436;156;2;5
NURACHI ;1528;485;3;20
NURECI ;305;106;0;6
OLLASTRA ;1033;305;6;23
ORISTANO ;27178;10707;51;283
PALMAS ARBOREA ;1227;345;1;14
PAU ;265;77;2;8
PAULILATINO ;2014;562;7;54
POMPU ;226;82;2;5
RIOLA SARDO ;1939;531;3;21
RUINAS ;646;240;1;9
SAGAMA ;175;44;0;1
SAMUGHEO ;2669;796;5;27
SAN NICOLO' D'ARCIDANO ;2253;718;9;29
SANTA GIUSTA ;4081;1341;15;56
SANTU LUSSURGIU ;2424;580;7;31
SAN VERO MILIS ;2187;768;7;26
SCANO DI MONTIFERRO ;1390;360;4;20
SEDILO ;1921;591;1;22
SENEGHE ;1620;582;1;17
SENIS ;414;132;1;4
SENNARIOLO ;170;42;1;2
SIAMAGGIORE ;828;219;2;12
SIAMANNA ;720;221;2;10
SIAPICCIA ;323;88;3;8
SIMALA ;315;110;2;5
SIMAXIS ;1963;759;3;24
SINI ;443;153;3;13
SIRIS ;201;57;1;1
SODDI' ;107;38;0;1
SOLARUSSA ;2107;682;5;27
SORRADILE ;386;311;52;78
SUNI ;1003;257;4;11
TADASUNI ;157;69;1;4
TERRALBA ;8883;3091;16;79
TINNURA ;223;81;3;11
TRAMATZA ;833;305;9;21
TRESNURAGHES ;1108;292;3;14
ULA TIRSO ;502;119;2;5
URAS ;2551;788;9;34
USELLUS ;729;228;3;7
VILLANOVA TRUSCHEDU ;287;83;0;4
VILLA SANT'ANTONIO ;336;105;0;1
VILLAURBANA ;1463;471;5;31
VILLA VERDE ;292;86;1;4
ZEDDIANI ;1004;284;3;11
ZERFALIU ;932;264;1;8
