Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ALGHERO ;37267;24912;979;1956
ANELA ;598;250;2;6
ARDARA ;631;189;3;12
BANARI ;585;193;1;8
BENETUTTI ;1703;498;7;22
BESSUDE ;399;129;1;3
BONNANARO ;867;281;0;1
BONO ;3044;1018;7;19
BONORVA ;3210;1057;13;54
BORUTTA ;254;93;0;4
BOTTIDDA ;635;256;2;15
BULTEI ;893;303;4;13
BULZI ;502;196;2;11
BURGOS ;854;304;1;14
CARGEGHE ;533;206;5;15
CASTELSARDO ;4940;3542;259;445
CHEREMULE ;404;120;2;8
CHIARAMONTI ;1487;385;5;16
CODRONGIANOS ;1182;462;2;18
COSSOINE ;842;246;3;10
ERULA ;671;186;2;10
ESPORLATU ;387;140;1;11
FLORINAS ;1310;613;5;29
GIAVE ;507;147;1;4
ILLORAI ;874;417;28;71
ITTIREDDU ;498;178;4;8
ITTIRI ;7455;3123;19;101
LAERRU ;809;281;1;15
MARA ;635;168;0;2
MARTIS ;478;131;1;3
MONTELEONE ROCCA DORIA ;103;26;0;2
MORES ;1674;481;2;11
MUROS ;691;296;1;4
NUGHEDU SAN NICOLO' ;742;214;4;4
NULE ;1229;370;7;23
NULVI ;2442;696;3;24
OLMEDO ;3372;1170;9;41
OSILO ;2717;1169;10;47
OSSI ;4912;1965;15;70
OZIERI ;9165;3172;27;104
PADRIA ;629;191;3;6
PATTADA ;2737;842;11;29
PERFUGAS ;2075;705;6;32
PLOAGHE ;3927;1417;16;50
PORTO TORRES ;18757;7279;44;280
POZZOMAGGIORE ;2497;749;4;23
PUTIFIGARI ;607;321;5;21
ROMANA ;473;160;5;8
SANTA MARIA COGHINAS ;1251;367;4;18
SASSARI ;107006;69803;2237;4824
SEDINI ;1254;365;3;15
SEMESTENE ;150;38;0;1
SENNORI ;6223;2332;29;148
SILIGO ;813;257;4;15
SORSO ;12169;8260;456;859
STINTINO ;1398;544;5;24
TERGU ;496;201;1;6
THIESI ;2543;825;18;18
TISSI ;1936;837;9;24
TORRALBA ;838;294;3;9
TULA ;1410;557;5;19
URI ;2541;982;28;32
USINI ;3572;1285;15;47
VALLEDORIA ;3569;1256;9;61
VIDDALBA ;1451;507;3;16
VILLANOVA MONTELEONE ;2047;807;4;45
