Ente;FORZA ITALIA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;IO CAMBIO - MAIE;ITALIA DEI VALORI;L'ALTRA EUROPA CON TSIPRAS;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;NUOVO CENTRO DESTRA - UDC;PARTITO DEMOCRATICO;SCELTA EUROPEA;VERDI EUROPEI-GREEN ITALIA
AGRIGENTO;3879;680;23;43;606;173;4777;2659;5749;36;119
ALESSANDRIA DELLA ROCCA;294;26;0;1;22;0;113;239;369;4;2
ARAGONA;535;343;4;2;43;26;698;587;1319;8;10
BIVONA;485;16;1;4;56;8;269;144;799;1;4
BURGIO;141;7;2;2;18;7;200;304;522;2;1
CALAMONACI;57;4;0;0;12;2;57;103;231;0;0
CALTABELLOTTA;624;48;10;14;52;27;613;228;613;23;10
CAMASTRA;340;5;0;0;11;3;153;110;224;0;0
CAMMARATA;523;30;3;9;59;15;578;586;800;5;7
CAMPOBELLO DI LICATA;749;44;1;2;48;11;704;279;1535;4;2
CANICATTI';1911;169;12;28;320;67;2828;1706;3569;24;28
CASTELTERMINI;684;23;3;8;36;4;667;517;1697;5;3
CASTROFILIPPO;291;4;1;3;40;5;116;51;500;2;3
CATTOLICA ERACLEA;436;40;1;5;5;1;268;189;754;1;1
CIANCIANA;159;10;1;0;32;4;194;226;809;2;2
COMITINI;31;14;0;2;12;1;59;95;112;0;0
FAVARA;1807;144;8;15;290;52;2187;974;3364;14;71
GROTTE;547;19;0;6;62;5;429;268;708;4;5
JOPPOLO GIANCAXIO;165;6;1;0;9;0;54;81;253;0;1
LAMPEDUSA E LINOSA;273;18;1;3;15;224;297;186;272;27;4
LICATA;2317;81;6;18;152;43;2066;1064;2477;7;8
LUCCA SICULA;26;8;1;1;12;1;140;194;336;1;3
MENFI;627;62;5;14;80;24;1195;687;1596;6;8
MONTALLEGRO;208;15;1;7;5;7;132;107;415;1;1
MONTEVAGO;176;12;3;4;15;7;240;175;521;4;2
NARO;964;106;15;35;76;55;971;393;1536;40;18
PALMA DI MONTECHIARO;1966;60;2;13;92;30;1061;573;1213;10;10
PORTO EMPEDOCLE;1427;88;2;13;83;33;1194;655;1907;9;13
RACALMUTO;806;137;12;62;172;49;1211;508;1560;25;34
RAFFADALI;880;38;4;7;182;19;1042;451;1826;7;6
RAVANUSA;501;30;2;8;164;6;861;689;1310;4;19
REALMONTE;338;15;3;2;24;13;409;219;536;4;5
RIBERA;1231;82;5;27;117;21;1272;543;2551;5;12
SAMBUCA DI SICILIA;439;12;3;17;25;4;355;407;1309;2;11
SAN BIAGIO PLATANI;522;22;3;12;29;13;336;428;637;3;4
SAN GIOVANNI GEMINI;927;31;3;12;80;20;708;677;858;2;2
SANT'ANGELO MUXARO;40;11;0;1;11;4;75;298;153;0;4
SANTA ELISABETTA;223;10;2;5;71;6;429;178;465;11;10
SANTA MARGHERITA DI BELICE;425;26;1;24;32;11;439;578;693;2;5
SANTO STEFANO QUISQUINA;365;29;0;4;43;22;225;127;608;3;7
SCIACCA;2453;203;11;544;468;69;4518;2429;4110;21;20
SICULIANA;377;34;3;2;35;4;337;485;588;0;0
VILLAFRANCA SICULA;58;4;0;0;63;3;79;119;337;3;0
