Ente;FORZA ITALIA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;IO CAMBIO - MAIE;ITALIA DEI VALORI;L'ALTRA EUROPA CON TSIPRAS;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;NUOVO CENTRO DESTRA - UDC;PARTITO DEMOCRATICO;SCELTA EUROPEA;VERDI EUROPEI-GREEN ITALIA
ACQUAVIVA PLATANI;35;4;1;0;6;1;59;219;135;2;0
BOMPENSIERE;29;10;2;0;2;0;52;70;63;1;1
BUTERA;304;29;1;8;82;1;418;112;605;21;5
CALTANISSETTA;7686;1293;87;444;1172;429;7650;2608;9839;162;515
CAMPOFRANCO;136;8;1;7;7;3;461;89;541;2;0
DELIA;135;37;0;2;19;3;263;384;515;3;2
GELA;3321;256;16;69;247;103;5000;1184;6919;50;56
MARIANOPOLI;111;12;0;2;12;2;86;186;269;1;2
MAZZARINO;1195;124;25;53;226;59;1917;451;2306;54;37
MILENA;240;46;0;3;14;9;279;200;543;4;0
MONTEDORO;50;26;1;1;27;1;84;37;321;0;3
MUSSOMELI;895;52;2;35;95;27;1277;295;1321;9;14
NISCEMI;1279;77;8;151;155;53;1775;706;1607;10;29
RESUTTANO;134;10;2;5;18;3;103;138;267;2;2
RIESI;456;49;2;8;27;12;1122;298;1220;5;4
SAN CATALDO;2473;379;54;116;394;206;3470;1098;3829;67;93
SANTA CATERINA VILLARMOSA;334;63;0;7;54;19;524;313;595;1;5
SERRADIFALCO;168;194;3;12;80;10;452;160;1001;12;7
SOMMATINO;361;44;0;9;22;11;419;302;1016;5;2
SUTERA;77;35;0;2;114;3;141;177;212;1;0
VALLELUNGA PRATAMENO;273;20;0;4;25;7;174;292;294;1;2
VILLALBA;193;11;2;0;12;2;71;45;279;0;3
