Ente;FORZA ITALIA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;IO CAMBIO - MAIE;ITALIA DEI VALORI;L'ALTRA EUROPA CON TSIPRAS;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;NUOVO CENTRO DESTRA - UDC;PARTITO DEMOCRATICO;SCELTA EUROPEA;VERDI EUROPEI-GREEN ITALIA
ACI BONACCORSI;266;25;3;0;34;10;309;382;329;3;8
ACI CASTELLO;2609;390;22;40;407;134;2814;862;3083;69;107
ACI CATENA;1937;266;10;25;229;86;3120;867;2678;33;54
ACI SANT'ANTONIO;1592;223;5;13;135;49;1731;639;1555;16;39
ACIREALE;10526;1067;83;171;1084;415;7110;2216;7064;176;250
ADRANO;2323;514;22;22;131;56;2161;957;2622;29;17
BELPASSO;2396;274;9;26;201;73;2523;372;2743;39;31
BIANCAVILLA;1869;965;3;8;103;29;1333;601;2118;24;8
BRONTE;1404;103;11;17;83;148;1481;1787;1825;20;35
CALATABIANO;476;37;3;4;41;22;364;404;497;9;5
CALTAGIRONE;2813;169;11;23;717;112;3143;1401;4047;39;66
CAMPOROTONDO ETNEO;450;26;1;4;15;11;544;132;519;2;5
CASTEL DI IUDICA;486;30;2;2;3;2;321;434;487;8;3
CASTIGLIONE DI SICILIA;272;21;3;7;24;10;235;128;397;5;3
CATANIA;23936;2409;126;233;3569;670;26994;6137;32680;496;610
FIUMEFREDDO DI SICILIA;679;144;6;11;80;32;901;283;1078;19;17
GIARRE;2278;335;14;23;515;81;2265;914;3094;49;48
GRAMMICHELE;945;114;8;9;94;35;1381;369;1163;55;14
GRAVINA DI CATANIA;1698;213;14;28;272;65;2909;1129;3281;29;41
LICODIA EUBEA;128;19;0;2;88;6;310;151;216;3;8
LINGUAGLOSSA;329;122;4;4;72;13;388;197;859;12;10
MALETTO;427;19;2;6;15;526;111;121;376;9;1
MANIACE;140;15;2;4;4;28;115;341;485;2;10
MASCALI;1348;132;2;13;170;42;1271;249;1165;85;18
MASCALUCIA;2141;368;17;43;295;64;3523;618;3307;33;71
MAZZARRONE;220;26;1;3;8;2;268;129;298;2;1
MILITELLO IN VAL DI CATANIA;629;80;1;7;128;9;398;262;1003;3;2
MILO;79;12;0;0;13;1;71;57;198;1;1
MINEO;292;76;5;3;52;18;424;752;291;10;4
MIRABELLA IMBACCARI;610;26;1;1;22;12;270;117;910;1;5
MISTERBIANCO;3292;323;15;43;307;119;5361;659;4574;43;55
MOTTA SANT'ANASTASIA;1563;259;15;36;207;88;1905;328;1657;23;46
NICOLOSI;663;76;1;8;86;14;761;118;964;7;14
PALAGONIA;1102;76;9;11;238;24;1036;552;984;5;15
PATERNO';4133;925;18;36;242;93;4704;1462;3745;88;123
PEDARA;1098;139;6;15;137;34;1361;310;2084;18;31
PIEDIMONTE ETNEO;319;27;4;4;20;3;297;210;733;3;5
RADDUSA;159;12;0;0;7;3;346;56;356;0;3
RAGALNA;613;209;3;6;60;25;599;167;546;69;15
RAMACCA;715;53;7;7;86;16;839;808;1263;5;9
RANDAZZO;953;73;1;14;124;54;800;300;1245;10;8
RIPOSTO;1205;125;5;23;360;33;1271;251;1540;20;14
SAN CONO;112;2;0;2;10;14;184;200;524;1;1
SAN GIOVANNI LA PUNTA;2082;250;11;25;308;74;2623;1185;2451;41;41
SAN GREGORIO DI CATANIA;832;168;6;6;160;46;1311;455;1830;24;39
SAN MICHELE DI GANZARIA;117;7;0;1;89;7;206;155;485;8;6
SAN PIETRO CLARENZA;558;75;3;10;28;17;811;137;906;7;10
SANT'AGATA LI BATTIATI;863;121;8;14;184;36;1090;358;1481;27;32
SANT'ALFIO;152;4;0;2;24;7;65;69;240;3;0
SANTA MARIA DI LICODIA;469;298;3;7;56;7;546;195;836;9;2
SANTA VENERINA;887;130;6;9;109;25;791;241;876;32;9
SCORDIA;726;125;8;23;342;32;1613;656;1743;16;20
TRECASTAGNI;881;82;1;7;117;20;891;181;1940;9;14
TREMESTIERI ETNEO;1570;255;14;9;298;58;2434;620;2831;24;47
VALVERDE;547;120;11;4;109;25;883;246;884;17;26
VIAGRANDE;719;77;7;9;93;24;911;208;942;8;17
VIZZINI;328;27;2;7;109;8;455;289;708;7;5
ZAFFERANA ETNEA;1533;144;5;29;132;57;948;355;1281;24;24
