Ente;FORZA ITALIA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;IO CAMBIO - MAIE;ITALIA DEI VALORI;L'ALTRA EUROPA CON TSIPRAS;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;NUOVO CENTRO DESTRA - UDC;PARTITO DEMOCRATICO;SCELTA EUROPEA;VERDI EUROPEI-GREEN ITALIA
AGIRA;471;65;5;7;77;17;559;230;1320;4;10
AIDONE;687;159;15;13;67;19;521;211;890;91;26
ASSORO;165;24;1;5;86;14;400;274;955;3;22
BARRAFRANCA;1162;59;4;11;68;11;1033;185;1511;41;11
CALASCIBETTA;239;31;1;8;73;9;381;228;621;22;4
CATENANUOVA;341;26;3;4;31;3;443;124;772;24;4
CENTURIPE;180;17;1;7;24;10;610;244;1081;2;7
CERAMI;243;5;2;0;7;5;86;48;235;2;0
ENNA;1365;259;7;46;753;87;2395;566;4466;39;68
GAGLIANO CASTELFERRATO;340;20;2;2;23;12;144;82;455;7;4
LEONFORTE;477;247;3;12;93;157;1190;251;1726;7;21
NICOSIA;579;86;5;30;66;23;572;461;1223;5;7
NISSORIA;195;12;1;6;18;14;210;107;456;2;3
PIAZZA ARMERINA;1299;206;6;11;125;51;1286;535;2611;14;20
PIETRAPERZIA;608;49;0;6;66;14;612;233;818;9;8
REGALBUTO;523;54;4;4;56;19;559;140;909;12;6
SPERLINGA;29;13;2;4;5;2;46;59;162;1;1
TROINA;549;59;6;10;136;46;448;168;1786;16;7
VALGUARNERA CAROPEPE;458;31;2;18;167;19;521;366;1007;7;9
VILLAROSA;263;64;4;7;42;25;327;131;757;4;5
