Ente;FORZA ITALIA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;IO CAMBIO - MAIE;ITALIA DEI VALORI;L'ALTRA EUROPA CON TSIPRAS;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;NUOVO CENTRO DESTRA - UDC;PARTITO DEMOCRATICO;SCELTA EUROPEA;VERDI EUROPEI-GREEN ITALIA
ALIA;316;33;1;4;21;6;144;123;483;5;5
ALIMENA;353;8;1;4;48;3;105;67;181;4;3
ALIMINUSA;73;1;0;0;56;5;63;120;163;4;2
ALTAVILLA MILICIA;637;50;5;32;47;15;623;221;498;2;13
ALTOFONTE;676;160;8;27;119;26;1022;291;1176;11;13
BAGHERIA;8617;716;82;428;769;244;8135;1707;6460;134;204
BALESTRATE;518;16;2;9;50;10;408;239;681;4;9
BAUCINA;142;10;0;3;3;4;121;79;385;1;2
BELMONTE MEZZAGNO;925;35;2;19;83;22;527;622;924;5;13
BISACQUINO;364;17;0;5;22;11;342;273;467;6;3
BLUFI;52;4;0;3;12;3;105;39;139;1;1
BOLOGNETTA;271;14;1;33;24;8;303;75;365;2;3
BOMPIETRO;142;43;5;9;29;5;149;213;203;9;2
BORGETTO;552;22;5;11;36;13;417;245;514;1;11
CACCAMO;938;58;3;19;42;21;562;460;828;6;6
CALTAVUTURO;202;12;1;1;33;13;204;202;473;4;2
CAMPOFELICE DI FITALIA;30;7;0;0;8;0;17;4;62;0;0
CAMPOFELICE DI ROCCELLA;408;61;1;14;171;18;585;419;802;6;8
CAMPOFIORITO;109;6;0;1;7;1;63;152;160;3;0
CAMPOREALE;247;18;2;4;12;5;272;98;497;5;5
CAPACI;774;79;2;13;137;35;943;476;942;7;23
CARINI;2240;223;16;71;222;71;2957;1068;2253;19;48
CASTELBUONO;248;31;6;12;2025;12;397;289;708;16;8
CASTELDACCIA;946;55;7;40;96;19;887;486;1193;5;29
CASTELLANA SICULA;218;17;4;2;87;9;167;54;573;2;4
CASTRONOVO DI SICILIA;207;21;0;8;8;7;92;166;453;1;2
CEFALA' DIANA;122;11;0;0;6;6;41;42;193;0;0
CEFALU';830;127;4;33;259;36;1047;440;1616;16;33
CERDA;345;11;2;4;34;7;363;253;761;2;2
CHIUSA SCLAFANI;204;49;2;3;23;7;159;272;261;8;3
CIMINNA;264;11;0;4;6;7;229;209;512;3;16
CINISI;2002;189;29;61;204;120;1837;440;1975;23;85
COLLESANO;208;17;0;7;80;7;229;255;553;4;2
CONTESSA ENTELLINA;74;12;2;1;3;8;104;94;397;1;3
CORLEONE;641;58;5;14;118;16;646;735;1386;3;4
FICARAZZI;1096;89;5;97;81;24;974;686;914;6;14
GANGI;253;76;2;13;100;18;352;221;1251;3;9
GERACI SICULO;72;21;0;0;47;2;56;26;269;2;1
GIARDINELLO;108;8;2;7;9;3;116;490;131;2;6
GIULIANA;185;3;2;5;13;2;66;148;234;8;1
GODRANO;81;4;0;2;7;0;110;62;236;0;0
GRATTERI;28;3;0;0;32;2;50;33;152;2;2
ISNELLO;48;8;1;4;191;1;72;17;171;1;0
ISOLA DELLE FEMMINE;502;74;2;20;75;17;794;93;629;0;10
LASCARI;181;16;2;7;49;6;211;395;296;10;4
LERCARA FRIDDI;568;46;1;8;59;8;303;316;778;4;9
MARINEO;587;29;4;10;46;12;383;167;877;3;8
MEZZOJUSO;146;29;2;6;161;4;164;126;350;2;4
MISILMERI;2013;183;16;77;193;59;2014;754;2607;17;43
MONREALE;5247;675;64;166;665;195;5744;1067;5100;80;136
MONTELEPRE;373;48;3;29;81;15;616;291;738;6;15
MONTEMAGGIORE BELSITO;443;17;0;8;14;3;86;114;500;2;1
PALAZZO ADRIANO;113;11;3;2;13;3;158;172;262;3;10
PALERMO;40647;5021;333;3095;11191;1734;61348;11654;71733;695;1881
PARTINICO;2147;130;14;102;285;51;1758;830;3248;22;30
PETRALIA SOPRANA;203;19;4;5;98;11;308;80;500;12;5
PETRALIA SOTTANA;123;19;1;18;181;4;159;63;470;18;8
PIANA DEGLI ALBANESI;318;25;1;13;158;11;631;144;856;4;7
