Ente;FORZA ITALIA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;IO CAMBIO - MAIE;ITALIA DEI VALORI;L'ALTRA EUROPA CON TSIPRAS;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;NUOVO CENTRO DESTRA - UDC;PARTITO DEMOCRATICO;SCELTA EUROPEA;VERDI EUROPEI-GREEN ITALIA
ACATE;503;44;3;3;22;25;826;151;634;3;5
CHIARAMONTE GULFI;330;66;2;6;87;20;799;98;1361;14;9
COMISO;2048;449;7;18;242;54;2725;259;2925;11;35
GIARRATANA;116;30;2;8;18;9;313;49;565;8;5
ISPICA;2317;73;9;21;151;36;1212;320;1616;11;15
MODICA;3144;399;31;85;721;179;5241;1115;6469;67;128
MONTEROSSO ALMO;156;26;1;2;40;8;244;110;524;4;4
POZZALLO;1048;93;1;19;195;64;1889;161;1771;9;16
RAGUSA;3505;774;29;117;835;248;7214;1273;10572;87;110
SANTA CROCE CAMERINA;637;167;6;5;68;43;744;110;875;6;9
SCICLI;1101;196;13;36;413;68;2017;612;2998;20;29
VITTORIA;2592;669;32;62;489;132;5971;441;5273;50;51
