Ente;FORZA ITALIA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;IO CAMBIO - MAIE;ITALIA DEI VALORI;L'ALTRA EUROPA CON TSIPRAS;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;NUOVO CENTRO DESTRA - UDC;PARTITO DEMOCRATICO;SCELTA EUROPEA;VERDI EUROPEI-GREEN ITALIA
AUGUSTA;1664;509;19;46;366;134;4990;523;4620;103;259
AVOLA;1895;337;11;33;200;78;2307;1278;2921;101;55
BUCCHERI;65;10;3;1;14;8;167;50;423;3;4
BUSCEMI;19;10;0;2;13;1;115;63;167;0;1
CANICATTINI BAGNI;378;68;3;6;64;22;800;162;1045;10;11
CARLENTINI;643;129;7;15;118;47;1923;461;2957;14;38
CASSARO;41;1;0;1;5;2;70;41;104;1;0
FERLA;76;5;0;1;19;6;149;60;506;0;2
FLORIDIA;1013;183;5;28;140;59;2724;421;2525;11;44
FRANCOFONTE;554;54;5;9;185;20;852;280;1480;3;9
LENTINI;1180;162;14;25;176;65;2585;775;2356;16;25
MELILLI;539;76;9;10;133;36;1701;286;1617;12;34
NOTO;1281;188;4;18;183;62;1667;567;2314;31;86
PACHINO;3866;507;111;80;261;147;3094;700;2441;71;67
PALAZZOLO ACREIDE;365;80;4;24;108;29;855;279;1168;15;31
PORTOPALO DI CAPO PASSERO;837;152;6;12;27;12;525;156;448;9;6
PRIOLO GARGALLO;341;57;2;6;54;29;1757;113;1641;7;49
ROSOLINI;1249;142;6;20;88;53;1548;414;1972;13;27
SIRACUSA;5051;1028;31;120;1242;335;10989;1914;15585;148;790
SOLARINO;367;119;3;7;48;14;802;293;787;3;10
SORTINO;260;41;5;14;111;20;1293;338;1523;5;6
