Ente;FORZA ITALIA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;IO CAMBIO - MAIE;ITALIA DEI VALORI;L'ALTRA EUROPA CON TSIPRAS;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;NUOVO CENTRO DESTRA - UDC;PARTITO DEMOCRATICO;SCELTA EUROPEA;VERDI EUROPEI-GREEN ITALIA
ALCAMO;3021;237;23;63;340;108;6146;1282;4904;42;64
BUSETO PALIZZOLO;124;23;3;4;6;5;215;55;383;1;3
CALATAFIMI SEGESTA;613;172;12;56;120;35;1016;404;1064;19;15
CAMPOBELLO DI MAZARA;696;77;4;21;142;22;1135;388;1086;20;8
CASTELLAMMARE DEL GOLFO;1245;79;13;12;236;27;1053;435;1461;22;13
CASTELVETRANO;2021;230;19;21;186;93;2977;1545;3363;22;43
CUSTONACI;256;65;1;2;16;2;417;63;656;16;1
ERICE;1515;305;17;73;259;86;2591;350;3102;29;70
FAVIGNANA;331;29;1;2;37;13;221;145;330;2;9
GIBELLINA;126;30;2;9;28;14;514;228;606;6;1
MARSALA;4649;357;42;117;422;114;6969;1551;9960;79;98
MAZARA DEL VALLO;7691;1071;70;192;407;212;9721;1147;6476;158;90
PACECO;716;53;8;21;59;22;974;195;1331;7;12
PANTELLERIA;389;23;3;4;49;15;543;168;595;18;5
PARTANNA;294;89;7;8;97;16;769;920;1700;10;6
PETROSINO;452;21;3;15;25;4;659;196;915;10;5
POGGIOREALE;44;3;3;3;6;0;186;130;277;2;1
SALAPARUTA;201;25;2;2;6;9;284;111;290;5;4
SALEMI;1374;316;19;46;422;59;1462;492;1807;24;34
SAN VITO LO CAPO;274;35;5;4;17;4;314;59;454;4;9
SANTA NINFA;187;55;4;5;20;16;518;166;1000;1;3
TRAPANI;3772;489;36;133;627;197;5999;930;6761;90;138
VALDERICE;596;102;4;17;91;23;992;174;1743;8;18
VITA;120;18;0;4;30;7;170;149;229;4;1
