Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
AGRIGENTO ;48467;20505;173;1761
ALESSANDRIA DELLA ROCCA ;3414;1125;12;55
ARAGONA ;8295;3822;55;247
BIVONA ;3495;1911;29;124
BURGIO ;2894;1364;31;158
CALAMONACI ;1154;497;6;31
CALTABELLOTTA ;3513;2616;209;354
CAMASTRA ;1960;906;6;60
CAMMARATA ;5094;2813;51;198
CAMPOBELLO DI LICATA ;8624;3527;31;148
CANICATTI' ;28963;11268;120;606
CASTELTERMINI ;7427;3990;55;343
CASTROFILIPPO ;3235;1072;17;56
CATTOLICA ERACLEA ;4628;1813;30;112
CIANCIANA ;3848;1533;19;94
COMITINI ;811;344;8;18
FAVARA ;26500;9854;116;928
GROTTE ;5176;2206;29;153
JOPPOLO GIANCAXIO ;1259;593;8;23
LAMPEDUSA E LINOSA ;5184;1383;9;63
LICATA ;30666;8653;87;414
LUCCA SICULA ;1732;782;14;59
MENFI ;11586;4713;96;409
MONTALLEGRO ;3562;979;19;80
MONTEVAGO ;2897;1257;13;98
NARO ;6979;5096;526;887
PALMA DI MONTECHIARO ;19031;5373;64;343
PORTO EMPEDOCLE ;14156;5770;32;346
RACALMUTO ;7293;5387;479;811
RAFFADALI ;11641;4683;34;221
RAVANUSA ;9846;3816;31;222
REALMONTE ;3798;1661;21;93
RIBERA ;16556;6367;59;501
SAMBUCA DI SICILIA ;5414;2820;60;236
SAN BIAGIO PLATANI ;3621;2379;238;370
SAN GIOVANNI GEMINI ;6680;3608;77;288
SANTA ELISABETTA ;2588;1786;264;376
SANTA MARGHERITA DI BELICE ;5922;2488;41;252
SANT'ANGELO MUXARO ;1527;656;15;59
SANTO STEFANO QUISQUINA ;4290;1679;51;246
SCIACCA ;34041;16166;235;1320
SICULIANA ;4102;1995;31;130
VILLAFRANCA SICULA ;1244;714;21;48
