Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ACQUAVIVA PLATANI ;883;498;5;36
BOMPENSIERE ;520;238;2;8
BUTERA ;4251;1654;9;68
CALTANISSETTA ;51522;36980;2390;5095
CAMPOFRANCO ;2807;1334;22;79
DELIA ;4661;1437;26;74
GELA ;61625;18308;201;1087
MARIANOPOLI ;1917;743;18;60
MAZZARINO ;11082;7839;930;1392
MILENA ;3091;1428;25;90
MONTEDORO ;1439;607;18;56
MUSSOMELI ;9279;4442;85;420
NISCEMI ;22717;6270;73;420
RESUTTANO ;1915;757;17;73
RIESI ;9575;3331;28;128
SAN CATALDO ;19805;14035;966;1856
SANTA CATERINA VILLARMOSA ;5133;2022;28;107
SERRADIFALCO ;5211;2255;47;156
SOMMATINO ;6037;2315;32;124
SUTERA ;1272;797;9;35
VALLELUNGA PRATAMENO ;2992;1196;36;104
VILLALBA ;1562;654;17;36
