Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ACI BONACCORSI ;2764;1466;20;97
ACI CASTELLO ;15954;11651;565;1114
ACI CATENA ;23336;9895;106;590
ACIREALE ;44778;35459;2795;5297
ACI SANT'ANTONIO ;14278;6352;55;355
ADRANO ;30010;9417;69;563
BELPASSO ;22189;9233;89;546
BIANCAVILLA ;19125;7514;91;453
BRONTE ;16643;7906;102;992
CALATABIANO ;5043;1990;19;128
CALTAGIRONE ;32527;13282;127;741
CAMPOROTONDO ETNEO ;3781;1789;12;80
CASTEL DI IUDICA ;4100;1884;27;106
CASTIGLIONE DI SICILIA ;4031;1236;29;131
CATANIA ;258610;102952;682;5092
FIUMEFREDDO DI SICILIA ;8677;3486;37;236
GIARRE ;24134;10189;105;573
GRAMMICHELE ;12892;4431;45;244
GRAVINA DI CATANIA ;21699;10116;67;437
LICODIA EUBEA ;3282;978;13;47
LINGUAGLOSSA ;4880;2196;39;186
MALETTO ;4182;1770;36;157
MANIACE ;2883;1376;38;230
MASCALI ;11994;4802;64;307
MASCALUCIA ;25144;10894;66;414
MAZZARRONE ;2895;1049;17;91
MILITELLO IN VAL DI CATANIA ;7355;2836;58;314
MILO ;1011;459;3;26
MINEO ;7027;2032;27;105
MIRABELLA IMBACCARI ;5070;2126;37;151
MISTERBIANCO ;38997;15810;121;1019
MOTTA SANT'ANASTASIA ;9429;7013;522;886
NICOLOSI ;6078;2913;33;201
PALAGONIA ;14016;4257;47;205
PATERNO' ;38728;16919;213;1350
PEDARA ;11332;5566;40;333
PIEDIMONTE ETNEO ;4194;1726;21;101
RADDUSA ;2799;1006;12;64
RAGALNA ;3168;2626;153;314
RAMACCA ;9076;4013;29;205
RANDAZZO ;10644;3845;38;263
RIPOSTO ;13167;5117;50;270
SAN CONO ;2621;1122;16;72
SAN GIOVANNI LA PUNTA ;18392;9482;60;391
SAN GREGORIO DI CATANIA ;9685;5069;18;192
SAN MICHELE DI GANZARIA ;3346;1130;10;49
SAN PIETRO CLARENZA ;5960;2713;19;151
SANT'AGATA LI BATTIATI ;8193;4329;26;115
SANT'ALFIO ;1575;628;9;62
SANTA MARIA DI LICODIA ;6071;2592;28;164
SANTA VENERINA ;7136;3414;70;299
SCORDIA ;14699;5692;313;388
TRECASTAGNI ;8640;4391;41;248
TREMESTIERI ETNEO ;16981;8494;47;334
VALVERDE ;6241;3051;25;179
VIAGRANDE ;6766;3156;20;141
VIZZINI ;7566;2156;46;211
ZAFFERANA ETNEA ;7978;5217;362;685
