Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ACQUEDOLCI ;4833;2420;65;164
ALCARA LI FUSI ;2378;652;13;54
ALI' ;848;286;8;25
ALI' TERME ;2172;892;12;68
ANTILLO ;822;447;6;47
BARCELLONA POZZO DI GOTTO ;35856;15665;312;1374
BASICO' ;1205;211;6;23
BROLO ;4943;4118;350;563
CAPIZZI ;3066;996;23;116
CAPO D'ORLANDO ;12197;5366;127;391
CAPRI LEONE ;3890;2291;70;235
CARONIA ;3120;1171;33;70
CASALVECCHIO SICULO ;922;440;4;18
CASTEL DI LUCIO ;1822;583;10;39
CASTELL'UMBERTO ;2986;1295;48;128
CASTELMOLA ;943;427;12;35
CASTROREALE ;2403;1036;33;112
CESARO' ;2419;954;20;93
CONDRO' ;505;399;41;57
FALCONE ;3125;1137;27;75
FICARRA ;1489;730;20;89
FIUMEDINISI ;1406;425;16;61
FLORESTA ;458;152;7;18
FONDACHELLI-FANTINA ;1037;528;14;66
FORZA D'AGRO' ;922;643;73;109
FRANCAVILLA DI SICILIA ;4103;1500;30;135
FRAZZANO' ;838;358;15;25
FURCI SICULO ;3029;1402;18;84
FURNARI ;4020;1199;21;67
GAGGI ;2708;1039;24;95
GALATI MAMERTINO ;2552;1178;29;81
GALLODORO ;359;153;1;5
GIARDINI NAXOS ;8222;3118;27;158
GIOIOSA MAREA ;6538;2724;59;168
GRANITI ;1512;792;13;55
GUALTIERI SICAMINO' ;1843;635;19;61
ITALA ;1454;585;7;37
LENI ;721;458;51;69
LETOJANNI ;2279;1138;6;34
LIBRIZZI ;1795;721;13;70
LIMINA ;1500;538;11;26
LIPARI ;11745;4230;51;221
LONGI ;1373;371;13;33
MALFA ;974;343;10;21
MALVAGNA ;804;227;12;34
MANDANICI ;612;434;75;102
MAZZARRA' SANT'ANDREA ;1491;644;15;70
MERI' ;2009;997;25;116
MESSINA ;196512;74484;721;4198
MILAZZO ;27421;12056;161;787
MILITELLO ROSMARINO ;1216;500;8;34
MIRTO ;1100;431;12;33
MISTRETTA ;4471;3374;507;752
MOIO ALCANTARA ;708;250;8;18
MONFORTE SAN GIORGIO ;2860;1073;29;84
MONGIUFFI MELIA ;588;343;3;11
MONTAGNAREALE ;1547;657;18;89
MONTALBANO ELICONA ;2369;978;15;61
MOTTA CAMASTRA ;1093;399;7;25
MOTTA D'AFFERMO ;814;310;6;20
NASO ;4671;1488;43;146
NIZZA DI SICILIA ;3297;1382;18;82
NOVARA DI SICILIA ;1719;520;9;49
OLIVERI ;2410;1602;205;270
PACE DEL MELA ;5315;2364;46;186
PAGLIARA ;1127;516;5;37
PATTI ;11586;5368;99;341
PETTINEO ;2372;644;15;48
PIRAINO ;3571;1720;45;153
RACCUJA ;1054;499;11;21
REITANO ;777;278;3;19
ROCCAFIORITA ;247;118;2;8
ROCCALUMERA ;3673;1582;23;95
ROCCAVALDINA ;1170;522;11;42
ROCCELLA VALDEMONE ;707;179;7;11
RODI' MILICI ;2055;919;17;66
ROMETTA ;5746;4224;328;636
SAN FILIPPO DEL MELA ;6238;2837;51;215
SAN FRATELLO ;3504;1512;28;131
SAN MARCO D'ALUNZIO ;2081;878;50;113
SAN PIER NICETO ;3311;1171;28;96
SAN PIERO PATTI ;2964;872;34;107
SAN SALVATORE DI FITALIA ;1510;756;138;215
SANTA DOMENICA VITTORIA ;899;450;4;22
SANT'AGATA DI MILITELLO ;11032;4735;81;261
SANT'ALESSIO SICULO ;1329;640;9;42
SANTA LUCIA DEL MELA ;4434;1811;63;213
SANTA MARINA SALINA ;1009;309;1;7
SANT'ANGELO DI BROLO ;3142;1497;38;91
SANTA TERESA DI RIVA ;8195;3631;61;292
SAN TEODORO ;1247;583;14;46
SANTO STEFANO DI CAMASTRA ;4188;1569;24;102
SAPONARA ;3497;1857;28;145
SAVOCA ;1545;628;16;52
SCALETTA ZANCLEA ;2061;836;12;41
SINAGRA ;2813;1249;37;99
SPADAFORA ;4774;3473;272;450
TAORMINA ;9159;3650;33;204
TERME VIGLIATORE ;6490;2499;63;268
TORREGROTTA ;6568;2780;51;192
TORRENOVA ;3701;1696;29;92
TORTORICI ;6002;4456;374;634
TRIPI ;1574;314;9;28
TUSA ;3075;1148;18;79
UCRIA ;1157;378;14;36
VALDINA ;1160;500;10;38
VENETICO ;3326;1478;30;112
VILLAFRANCA TIRRENA ;7436;3877;67;325
