Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ALIA ;3441;1276;27;135
ALIMENA ;1963;856;18;79
ALIMINUSA ;1150;520;10;33
ALTAVILLA MILICIA ;6966;2350;28;207
ALTOFONTE ;8487;3743;15;214
BAGHERIA ;46690;31168;1628;3672
BALESTRATE ;6551;2101;28;155
BAUCINA ;1904;826;10;76
BELMONTE MEZZAGNO ;8722;3453;43;276
BISACQUINO ;4520;1656;27;146
BLUFI ;992;408;9;49
BOLOGNETTA ;3466;1228;20;129
BOMPIETRO ;1341;981;104;172
BORGETTO ;7338;1921;17;94
CACCAMO ;7106;3455;87;512
CALTAVUTURO ;3489;1323;20;176
CAMPOFELICE DI FITALIA ;506;140;3;12
CAMPOFELICE DI ROCCELLA ;6169;2673;31;180
CAMPOFIORITO ;1167;555;13;53
CAMPOREALE ;2982;1304;23;139
CAPACI ;9307;3581;22;150
CARINI ;32788;9630;79;442
CASTELBUONO ;7842;4002;54;250
CASTELDACCIA ;9553;3965;27;202
CASTELLANA SICULA ;3022;1328;37;191
CASTRONOVO DI SICILIA ;2737;1075;25;110
CEFALA' DIANA ;913;447;5;26
CEFALU' ;12958;4880;84;439
CERDA ;4415;1905;16;121
CHIUSA SCLAFANI ;2766;1121;14;130
CIMINNA ;4046;1413;31;152
CINISI ;11157;7772;519;807
COLLESANO ;3826;1475;13;113
CONTESSA ENTELLINA ;1705;782;22;83
CORLEONE ;9886;3972;56;346
FICARAZZI ;9911;4211;45;225
GANGI ;7915;2535;63;237
GERACI SICULO ;1679;566;7;70
GIARDINELLO ;1903;944;9;62
GIULIANA ;1811;745;18;78
GODRANO ;1062;556;4;54
GRATTERI ;914;338;1;34
ISNELLO ;1440;590;16;76
ISOLA DELLE FEMMINE ;5970;2313;22;97
LASCARI ;3021;1328;27;151
LERCARA FRIDDI ;6228;2347;64;247
MARINEO ;5808;2334;25;208
MEZZOJUSO ;2678;1140;19;146
MISILMERI ;23022;8750;128;774
MONREALE ;31955;22326;1540;3187
MONTELEPRE ;5630;2401;33;186
MONTEMAGGIORE BELSITO ;3031;1257;17;69
PALAZZO ADRIANO ;1992;948;32;198
PALERMO ;549740;221771;1593;12439
PARTINICO ;26281;9168;111;551
PETRALIA SOPRANA ;2911;1416;25;171
PETRALIA SOTTANA ;2671;1179;22;115
PIANA DEGLI ALBANESI ;5308;2360;24;192
POLIZZI GENEROSA ;3231;1214;22;135
POLLINA ;3058;1528;15;153
PRIZZI ;4298;1877;68;374
ROCCAMENA ;1551;1049;124;228
ROCCAPALUMBA ;2612;884;14;68
SAN CIPIRELLO ;4709;1726;24;148
SAN GIUSEPPE JATO ;7798;2688;38;247
SAN MAURO CASTELVERDE ;1970;411;6;44
SANTA CRISTINA GELA ;827;398;6;35
SANTA FLAVIA ;9654;3452;36;239
SCIARA ;2471;775;23;88
SCILLATO ;546;196;4;12
SCLAFANI BAGNI ;393;163;4;19
TERMINI IMERESE ;22297;17591;1533;2598
TERRASINI ;10835;3577;16;108
TORRETTA ;4323;1248;18;82
TRABIA ;8796;3449;39;221
TRAPPETO ;2966;980;10;39
USTICA ;1176;505;7;31
VALLEDOLMO ;3265;1282;32;140
VENTIMIGLIA DI SICILIA ;2068;990;11;80
VICARI ;2482;1032;17;95
VILLABATE ;15548;5146;45;431
VILLAFRATI ;2895;1218;26;113
