Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
AUGUSTA ;31474;13693;94;460
AVOLA ;26250;9776;89;560
BUCCHERI ;2700;786;10;38
BUSCEMI ;1113;411;6;20
CANICATTINI BAGNI ;6847;2691;18;122
CARLENTINI ;15243;6698;45;346
CASSARO ;854;278;1;12
FERLA ;2453;881;12;57
FLORIDIA ;19231;7457;51;304
FRANCOFONTE ;11348;3723;31;272
LENTINI ;21214;7834;50;455
MELILLI ;11611;4685;47;232
NOTO ;19780;6886;83;485
PACHINO ;19952;13279;1301;1934
PALAZZOLO ACREIDE ;8362;3159;33;201
PORTOPALO DI CAPO PASSERO ;3177;2521;234;331
PRIOLO GARGALLO ;9999;4189;35;133
ROSOLINI ;17750;5829;58;297
SIRACUSA ;100528;38582;228;1349
SOLARINO ;7311;2551;19;98
SORTINO ;8107;3849;45;233
