Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ALCAMO ;38024;17723;282;1493
BUSETO PALIZZOLO ;2856;901;32;79
CALATAFIMI SEGESTA ;6444;4277;386;751
CAMPOBELLO DI MAZARA ;10999;3778;42;179
CASTELLAMMARE DEL GOLFO ;14277;4900;69;304
CASTELVETRANO ;26588;11177;117;657
CUSTONACI ;4620;1635;38;140
ERICE ;23946;9054;130;657
FAVIGNANA ;3880;1198;23;78
GIBELLINA ;3976;1658;21;94
MARSALA ;68654;26634;645;2276
MAZARA DEL VALLO ;41576;31389;2849;4154
PACECO ;9675;3668;58;270
PANTELLERIA ;6184;1908;38;96
PARTANNA ;9959;4139;50;223
PETROSINO ;6411;2559;74;254
POGGIOREALE ;1581;678;11;23
SALAPARUTA ;1742;1140;136;201
SALEMI ;9858;7162;527;1107
SANTA NINFA ;4863;2113;27;138
SAN VITO LO CAPO ;4144;1253;18;74
TRAPANI ;57243;20684;291;1512
VALDERICE ;10423;4062;69;294
VITA ;2026;807;22;75
